product_id,product_category_name,month_year,unit_price,lag_price,qty,lag_qty,comp_1,comp_2,comp_3,pct_price_change,pct_demand_change,avg_comp_price,price_vs_competitor
bed1,bed_bath_table,01/05/2017,45.95000076,45.90000153,1,13,89.90000153,215,45.95000076,0.1089,-92.3077,116.95,-71
bed1,bed_bath_table,01/08/2018,39.24000168,39.99000168,8,4,74,39.24000168,39.24000168,-1.8755,100,50.8267,-11.5867
bed1,bed_bath_table,01/11/2017,40.53181839,45.95000076,11,3,89.90000153,40.53181839,40.53181839,-11.7915,266.6667,56.9879,-16.4561
bed1,bed_bath_table,01/12/2017,39.99000168,40.53181839,6,11,88.48823547,39.99000168,39.99000168,-1.3368,-45.4545,56.1561,-16.1661
bed2,bed_bath_table,01/02/2017,89.90000153,89.84999847,2,17,89.90000153,89.90000153,89.90000153,0.0557,-88.2353,89.9,0
bed2,bed_bath_table,01/04/2018,85.04499817,86.90000153,6,34,85.04499817,85.04499817,39.99000168,-2.1346,-82.3529,70.0267,15.0183
bed2,bed_bath_table,01/06/2018,79.90000153,83.64961243,23,51,79.90000153,79.90000153,39.99000168,-4.4825,-54.902,66.5967,13.3033
bed2,bed_bath_table,01/07/2018,77.93333435,79.90000153,10,60,77.93333435,77.93333435,39.99000168,-2.4614,-83.3333,65.2856,12.6478
bed2,bed_bath_table,01/08/2018,74,77.93333435,7,37,74,74,39.24000168,-5.047,-81.0811,62.4133,11.5867
bed2,bed_bath_table,01/12/2017,88.48823547,89.90000153,18,40,88.48823547,88.48823547,39.99000168,-1.5704,-55,72.3222,16.1661
bed3,bed_bath_table,01/02/2018,92,98.30000305,13,11,86.90000153,92,39.99000168,-6.409,18.1818,72.9633,19.0367
bed3,bed_bath_table,01/04/2018,90.875,92,9,3,85.04499817,90.875,39.99000168,-1.2228,200,71.97,18.905
bed3,bed_bath_table,01/05/2018,88.23999786,90.875,14,9,83.64961243,88.23999786,39.99000168,-2.8996,55.5556,70.6265,17.6135
bed3,bed_bath_table,01/06/2018,84.90000153,88.23999786,14,14,79.90000153,84.90000153,39.99000168,-3.7851,0,68.2633,16.6367
bed3,bed_bath_table,01/10/2017,99,98.94999695,8,1,89.90000153,99,45.95000076,0.0505,700,78.2833,20.7167
bed4,bed_bath_table,01/03/2018,47.90000153,45.90000153,8,16,86.90000153,47.90000153,39.99000168,4.3573,-50,58.2633,-10.3633
bed4,bed_bath_table,01/10/2017,45.90000153,45.84999847,29,2,89.90000153,45.90000153,45.95000076,0.1091,1350,60.5833,-14.6833
bed4,bed_bath_table,01/11/2017,44.15444565,45.90000153,32,29,89.90000153,44.15444565,40.53181839,-3.803,10.3448,58.1954,-14.041
bed4,bed_bath_table,01/12/2017,45.90000153,44.15444565,12,32,88.48823547,45.90000153,39.99000168,3.9533,-62.5,58.1261,-12.2261
computers1,computers_accessories,01/02/2018,84.75608826,90.53399658,30,31,149,149.8999939,78.71228027,-6.382,-3.2258,125.8708,-41.1147
computers1,computers_accessories,01/03/2018,87.5,84.75608826,13,30,136.1428528,149.8999939,81.02391052,3.2374,-56.6667,122.3556,-34.8556
computers1,computers_accessories,01/04/2018,94,87.5,5,13,120.9230804,149.8999939,80.66666412,7.4286,-61.5385,117.1632,-23.1632
computers1,computers_accessories,01/05/2017,94.90000153,94.84999847,4,5,94.90000153,94.90000153,94.90000153,0.0527,-20,94.9,0
computers1,computers_accessories,01/06/2017,100.9000015,94.90000153,6,4,159.9900055,100.9000015,100.9000015,6.3224,50,120.5967,-19.6967
computers1,computers_accessories,01/06/2018,73,72.94999695,4,6,114.4911575,149.8999939,78.90000153,0.0685,-33.3333,114.4304,-41.4304
computers1,computers_accessories,01/07/2017,109.9000015,100.9000015,10,4,139.9900055,109.9000015,109.9000015,8.9197,150,119.93,-10.03
computers1,computers_accessories,01/07/2018,66.3421402,73,18,10,119.9899979,149.8999939,77.90000153,-9.1204,80,115.93,-49.5879
computers1,computers_accessories,01/08/2018,79.90000153,66.3421402,1,2,119.9899979,149.8999939,77.90000153,20.4363,-50,115.93,-36.03
computers1,computers_accessories,01/09/2017,98.90000153,109.9000015,4,1,151.9900055,98.90000153,98.90000153,-10.0091,300,116.5967,-17.6967
computers2,computers_accessories,01/02/2018,78.71228027,97.64250183,71,29,149,149.8999939,78.71228027,-19.3873,144.8276,125.8708,-47.1585
computers2,computers_accessories,01/03/2018,81.02391052,78.71228027,27,71,136.1428528,149.8999939,81.02391052,2.9368,-61.9718,122.3556,-41.3317
computers2,computers_accessories,01/04/2018,80.66666412,81.02391052,13,27,120.9230804,149.8999939,80.66666412,-0.4409,-51.8519,117.1632,-36.4966
computers2,computers_accessories,01/05/2018,79.80000305,80.66666412,11,13,119,149.8999939,79.80000305,-1.0744,-15.3846,116.2333,-36.4333
computers2,computers_accessories,01/06/2018,78.90000153,79.80000305,10,11,114.4911575,149.8999939,78.90000153,-1.1278,-9.0909,114.4304,-35.5304
computers2,computers_accessories,01/07/2018,77.90000153,78.90000153,7,10,119.9899979,149.8999939,77.90000153,-1.2674,-30,115.93,-38.03
computers2,computers_accessories,01/11/2017,109.9000015,109.8499985,1,2,149.9900055,109.9000015,109.9000015,0.0455,-50,123.2633,-13.3633
computers3,computers_accessories,01/02/2018,132.9700012,133,3,5,149,149.8999939,78.71228027,-0.0226,-40,125.8708,7.0992
computers3,computers_accessories,01/05/2017,178.0571442,178.0071411,15,3,178.0571442,178.0571442,178.0571442,0.0281,400,178.0571,0
computers3,computers_accessories,01/06/2017,149.8524933,178.0571442,15,15,159.9900055,149.8524933,149.8524933,-15.8402,0,153.2317,-3.3792
computers3,computers_accessories,01/07/2017,146.6000061,149.8524933,4,15,139.9900055,146.6000061,146.6000061,-2.1705,-73.3333,144.3967,2.2033
computers3,computers_accessories,01/08/2017,144.9600067,146.6000061,13,4,145.7042847,144.9600067,144.9600067,-1.1187,225,145.2081,-0.2481
computers3,computers_accessories,01/09/2017,138.5899963,144.9600067,12,13,151.9900055,138.5899963,138.5899963,-4.3943,-7.6923,143.0567,-4.4667
computers3,computers_accessories,01/10/2017,137.8999939,138.5899963,16,12,154.6958771,137.8999939,137.8999939,-0.4979,33.3333,143.4986,-5.5986
computers3,computers_accessories,01/12/2017,134.8999939,137.8999939,2,18,149.9900055,134.8999939,109.9000015,-2.1755,-88.8889,131.5967,3.3033
computers4,computers_accessories,01/02/2017,159.9900055,159.9400024,3,43,159.9900055,159.9900055,159.9900055,0.0313,-93.0233,159.99,0
computers4,computers_accessories,01/02/2018,149,156.5113525,31,3,149,149.8999939,78.71228027,-4.7992,933.3333,125.8708,23.1292
computers4,computers_accessories,01/03/2018,136.1428528,149,44,3,136.1428528,149.8999939,81.02391052,-8.629,1366.6667,122.3556,13.7873
computers4,computers_accessories,01/04/2017,139.9900055,159.9900055,5,44,139.9900055,139.9900055,139.9900055,-12.5008,-88.6364,139.99,0
computers4,computers_accessories,01/04/2018,120.9230804,136.1428528,56,5,120.9230804,149.8999939,80.66666412,-11.1793,1020,117.1632,3.7598
computers4,computers_accessories,01/05/2018,119,120.9230804,25,56,119,149.8999939,79.80000305,-1.5903,-55.3571,116.2333,2.7667
computers4,computers_accessories,01/06/2017,159.9900055,159.9400024,3,25,159.9900055,159.9900055,159.9900055,0.0313,-88,159.99,0
computers4,computers_accessories,01/06/2018,114.4911575,119,27,3,114.4911575,149.8999939,78.90000153,-3.7889,800,114.4304,0.0608
computers4,computers_accessories,01/07/2017,139.9900055,159.9900055,6,27,139.9900055,139.9900055,139.9900055,-12.5008,-77.7778,139.99,0
computers4,computers_accessories,01/07/2018,119.9899979,114.4911575,9,6,119.9899979,149.8999939,77.90000153,4.8029,50,115.93,4.06
computers4,computers_accessories,01/08/2017,145.7042847,139.9900055,7,9,145.7042847,145.7042847,145.7042847,4.0819,-22.2222,145.7043,0
computers4,computers_accessories,01/09/2017,151.9900055,145.7042847,11,10,151.9900055,151.9900055,151.9900055,4.314,10,151.99,0
computers4,computers_accessories,01/10/2017,154.6958771,151.9900055,17,11,154.6958771,154.6958771,154.6958771,1.7803,54.5455,154.6959,0
computers4,computers_accessories,01/11/2017,149.9900055,154.6958771,18,17,149.9900055,149.9900055,109.9000015,-3.042,5.8824,136.6267,13.3633
computers5,computers_accessories,01/02/2018,77.15499878,93.09489441,45,57,149,149.8999939,78.71228027,-17.1222,-21.0526,125.8708,-48.7158
computers5,computers_accessories,01/03/2018,88,77.15499878,6,45,136.1428528,149.8999939,81.02391052,14.0561,-86.6667,122.3556,-34.3556
computers5,computers_accessories,01/06/2018,89.90000153,89.84999847,3,10,114.4911575,149.8999939,78.90000153,0.0557,-70,114.4304,-24.5304
computers5,computers_accessories,01/07/2018,78.90000153,89.90000153,3,3,119.9899979,149.8999939,77.90000153,-12.2358,0,115.93,-37.03
computers5,computers_accessories,01/10/2017,167,166.9499969,1,3,154.6958771,167,167,0.03,-66.6667,162.8986,4.1014
computers5,computers_accessories,01/12/2017,119.9000015,119.8499985,2,1,149.9900055,119.9000015,109.9000015,0.0417,100,126.5967,-6.6967
computers6,computers_accessories,01/02/2018,149.8999939,150.354538,69,22,149,149.8999939,78.71228027,-0.3023,213.6364,125.8708,24.0292
consoles1,consoles_games,01/04/2018,35.05714417,32.5,7,6,35.05714417,34.20000076,35.05714417,7.8681,16.6667,34.7714,0.2857
consoles1,consoles_games,01/05/2018,36.20000076,35.05714417,3,7,36.20000076,36.20000076,36.20000076,3.26,-57.1429,36.2,0
consoles1,consoles_games,01/07/2017,19.89999962,19.85000038,13,2,19.89999962,19.89999962,19.89999962,0.2519,550,19.9,0
consoles1,consoles_games,01/10/2017,21.54285622,19.89999962,28,9,21.54285622,20.66666603,21.54285622,8.2556,211.1111,21.2508,0.2921
consoles1,consoles_games,01/11/2017,24.5,21.54285622,28,28,24.5,24.5,24.5,13.7268,0,24.5,0
consoles2,consoles_games,01/02/2018,32.5,27.03333282,1,10,32.5,32.5,32.5,20.222,-90,32.5,0
consoles2,consoles_games,01/03/2018,32.74285889,32.5,7,1,32.5,32.74285889,32.74285889,0.7473,600,32.6619,0.081
consoles2,consoles_games,01/04/2018,34.20000076,32.74285889,6,7,35.05714417,34.20000076,34.20000076,4.4503,-14.2857,34.4857,-0.2857
consoles2,consoles_games,01/07/2017,19.89999962,19.85000038,1,6,19.89999962,19.89999962,19.89999962,0.2519,-83.3333,19.9,0
consoles2,consoles_games,01/10/2017,20.66666603,19.89999962,12,9,21.54285622,20.66666603,20.66666603,3.8526,33.3333,20.9587,-0.2921
consoles2,consoles_games,01/11/2017,24.5,20.66666603,23,12,24.5,24.5,24.5,18.5484,91.6667,24.5,0
cool1,cool_stuff,01/02/2017,85.70428467,85.65428925,7,3,85.70428467,85.70428467,85.70428467,0.0584,133.3333,85.7043,0
cool1,cool_stuff,01/03/2017,99.98999786,85.70428467,14,1,99.98999786,129.9900055,99.98999786,16.6686,1300,109.99,-10
cool1,cool_stuff,01/04/2018,89.86333466,99.98999786,3,17,89.86333466,129.9900055,35,-10.1277,-82.3529,84.9511,4.9122
cool2,cool_stuff,01/03/2017,129.9900055,129.9400024,8,2,99.98999786,129.9900055,129.9900055,0.0385,300,119.99,10
cool2,cool_stuff,01/08/2017,116.9274979,129.9900055,16,16,99.98999786,116.9274979,116.9274979,-10.0489,0,111.2817,5.6458
cool2,cool_stuff,01/10/2017,119.9899979,119.9400024,10,16,99.98999786,119.9899979,119.9899979,0.0417,-37.5,113.3233,6.6667
cool2,cool_stuff,01/11/2017,129.9900055,119.9899979,9,10,99.98999786,129.9900055,129.9900055,8.334,-10,119.99,10
cool3,cool_stuff,01/03/2018,35,34.95000076,26,76,99.98999786,129.9900055,35,0.1431,-65.7895,88.3267,-53.3267
cool3,cool_stuff,01/06/2018,65,35,2,4,65,65,65,85.7143,-50,65,0
cool3,cool_stuff,01/08/2018,65,64.94999695,1,2,65,65,65,0.077,-50,65,0
cool3,cool_stuff,01/09/2017,29.5,29.45000076,1,1,99.98999786,29.5,29.5,0.1698,0,52.9967,-23.4967
cool4,cool_stuff,01/02/2018,176.9900055,166.9900055,8,13,99.98999786,129.9900055,176.9900055,5.9884,-38.4615,135.6567,41.3333
cool4,cool_stuff,01/03/2018,173.8081818,176.9900055,11,8,99.98999786,129.9900055,35,-1.7977,37.5,88.3267,85.4815
cool4,cool_stuff,01/04/2018,169.9900055,173.8081818,6,11,89.86333466,129.9900055,35,-2.1968,-45.4545,84.9511,85.0389
cool4,cool_stuff,01/07/2017,134.9900055,134.9400024,1,6,99.98999786,129.9900055,134.9900055,0.0371,-83.3333,121.6567,13.3333
cool4,cool_stuff,01/10/2017,146.9900055,146.9400024,12,1,99.98999786,119.9899979,146.9900055,0.034,1100,122.3233,24.6667
cool4,cool_stuff,01/11/2017,157.3603668,146.9900055,27,12,99.98999786,129.9900055,157.3603668,7.0551,125,129.1135,28.2469
cool4,cool_stuff,01/12/2017,166.9900055,157.3603668,29,27,99.98999786,129.9900055,166.9900055,6.1195,7.4074,132.3233,34.6667
cool5,cool_stuff,01/03/2018,97.95200348,99.98999786,5,9,99.98999786,129.9900055,35,-2.0382,-44.4444,88.3267,9.6253
cool5,cool_stuff,01/04/2017,99.98999786,99.94000244,2,5,99.98999786,129.9900055,99.98999786,0.05,-60,109.99,-10
cool5,cool_stuff,01/04/2018,84.69249725,97.95200348,4,2,89.86333466,129.9900055,35,-13.5367,100,84.9511,-0.2586
furniture1,furniture_decor,01/03/2018,35.48571396,38.40000153,17,9,69.90000153,35.48571396,99.90000153,-7.5893,88.8889,68.4286,-32.9429
furniture1,furniture_decor,01/04/2018,35,35.48571396,17,17,69.90000153,35,99.90000153,-1.3688,0,68.2667,-33.2667
furniture1,furniture_decor,01/07/2017,38.40000153,38.34999847,1,13,75,38.40000153,38.40000153,0.1304,-92.3077,50.6,-12.2
furniture1,furniture_decor,01/11/2017,36.85428619,38.40000153,28,25,75,36.85428619,99.90000153,-4.0253,12,70.5848,-33.7305
furniture2,furniture_decor,01/02/2018,69.90000153,69.99533081,44,122,69.90000153,38.40000153,99.90000153,-0.1362,-63.9344,69.4,0.5
furniture2,furniture_decor,01/06/2018,89.90000153,69.90000153,2,92,89.90000153,35,99.90000153,28.6123,-97.8261,74.9333,14.9667
furniture2,furniture_decor,01/07/2017,75,74.94999695,5,2,75,38.40000153,75,0.0667,150,62.8,12.2
furniture2,furniture_decor,01/08/2018,103.2333298,89.90000153,3,13,103.2333298,35,83.83333588,14.8313,-76.9231,74.0222,29.2111
furniture2,furniture_decor,01/10/2017,75,74.94999695,5,3,75,38.40000153,75,0.0667,66.6667,62.8,12.2
furniture3,furniture_decor,01/03/2018,35.48571396,38.40000153,14,4,69.90000153,35.48571396,99.90000153,-7.5893,250,68.4286,-32.9429
furniture3,furniture_decor,01/04/2018,35,35.48571396,4,14,69.90000153,35,99.90000153,-1.3688,-71.4286,68.2667,-33.2667
furniture3,furniture_decor,01/08/2017,38.40000153,38.34999847,1,2,75,38.40000153,38.40000153,0.1304,-50,50.6,-12.2
furniture3,furniture_decor,01/08/2018,35,34.95000076,1,1,103.2333298,35,83.83333588,0.1431,0,74.0222,-39.0222
furniture3,furniture_decor,01/11/2017,34.58117676,38.40000153,34,8,75,36.85428619,99.90000153,-9.9449,325,70.5848,-36.0036
furniture3,furniture_decor,01/12/2017,38.40000153,34.58117676,4,34,75,38.40000153,99.90000153,11.0431,-88.2353,71.1,-32.7
furniture4,furniture_decor,01/07/2018,78.5357132,99.90000153,14,10,89.90000153,35,78.5357132,-21.3857,40,67.8119,10.7238
furniture4,furniture_decor,01/08/2018,83.83333588,78.5357132,9,14,103.2333298,35,83.83333588,6.7455,-35.7143,74.0222,9.8111
furniture4,furniture_decor,01/11/2017,99.90000153,99.84999847,1,9,75,36.85428619,99.90000153,0.0501,-88.8889,70.5848,29.3152
garden1,garden_tools,01/02/2017,99.98999786,99.94000244,1,11,99.98999786,99.98999786,99.98999786,0.05,-90.9091,99.99,0
garden1,garden_tools,01/02/2018,120,127.727272,7,1,50.5451622,50.90000153,50.3571434,-6.0498,600,50.6008,69.3992
garden1,garden_tools,01/03/2018,110,120,6,5,53.90000153,53.90000153,53.90000153,-8.3333,20,53.9,56.1
garden1,garden_tools,01/05/2017,109.9899979,109.9400024,4,5,59.90000153,59.90000153,109.9899979,0.0455,-20,76.5967,33.3933
garden1,garden_tools,01/06/2018,89.98999786,110,6,6,49.90000153,49.90000153,49.90000153,-18.1909,0,49.9,40.09
garden1,garden_tools,01/07/2017,120,109.9899979,1,6,59.90000153,59.90000153,59.90000153,9.1008,-83.3333,59.9,60.1
garden1,garden_tools,01/07/2018,99.98999786,89.98999786,7,1,49.90999985,49.90000153,49.90000153,11.1123,600,49.9033,50.0867
garden1,garden_tools,01/08/2018,98.32333374,99.98999786,6,2,49.90999985,49.90000153,49.90000153,-1.6668,200,49.9033,48.42
garden1,garden_tools,01/09/2017,102.5,120,7,6,59.90000153,59.90000153,59.90000153,-14.5833,16.6667,59.9,42.6
garden1,garden_tools,01/10/2017,95.29000092,102.5,17,7,59.90000153,59.90000153,59.90000153,-7.0341,142.8571,59.9,35.39
garden1,garden_tools,01/11/2017,89.98999786,95.29000092,28,17,52.40694427,53.6482811,53.7857132,-5.562,64.7059,53.2803,36.7097
garden10,garden_tools,01/02/2018,50.90000153,49.90000153,36,29,50.5451622,50.90000153,50.3571434,2.004,24.1379,50.6008,0.2992
garden10,garden_tools,01/03/2018,53.90000153,50.90000153,35,36,53.90000153,53.90000153,53.90000153,5.8939,-2.7778,53.9,0
garden10,garden_tools,01/05/2017,59.90000153,59.84999847,3,13,59.90000153,59.90000153,59.90000153,0.0835,-76.9231,59.9,0
garden10,garden_tools,01/05/2018,53.70952225,53.90000153,29,3,53.41514969,53.70952225,53.05789566,-0.3534,866.6667,53.3942,0.3153
garden10,garden_tools,01/06/2018,49.90000153,53.70952225,6,3,49.90000153,49.90000153,49.90000153,-7.0928,100,49.9,0
